ic| current_user: 1, 'used Books GET. Auth Token: OK'
ic| current_user: 1, 'used Books GET. Auth Token: OK'
ic| current_user: 1, 'used Books GET. Auth Token: OK'
ic| data['Username']: '1', 'logged in successfully'
ic| data['Username']: '2', 'registered successfully'
ic| data['Username']: '2', 'logged in successfully'
15-01-2024 20:14:02 | ic| data['Username']: '12312312312', 'registered successfully'
15-01-2024 20:14:19 | ic| data['Username']: '321321321', 'registered successfully'
15-01-2024 20:14:24 | ic| current_user: 5, 'used Customers DELETE.'
15-01-2024 20:15:24 | ic| data['Username']: '22222', 'registered successfully'
15-01-2024 20:15:47 | ic| current_user: 5, 'used Customers DELETE.'
15-01-2024 20:15:47 | ic| current_user: 5, 'used Customers DELETE.'
15-01-2024 20:16:17 | ic| data['Username']: '999', 'registered successfully'
15-01-2024 20:16:26 | ic| data['Username']: '33333', 'registered successfully'
15-01-2024 20:16:45 | ic| current_user: 5, 'used Customers DELETE.'
15-01-2024 20:17:23 | ic| current_user: 5, 'used Customers DELETE.'
15-01-2024 20:27:53 | ic| data['Username']: '2222', 'registered successfully'
15-01-2024 20:28:01 | ic| data['Username']: '444', 'registered successfully'
15-01-2024 20:28:59 | ic| current_user: 5, 'used Customers DELETE.'
15-01-2024 20:28:59 | ic| current_user: 5, 'used Customers DELETE.'
15-01-2024 20:28:59 | ic| current_user: 5, 'used Customers DELETE.'
15-01-2024 20:38:05 | ic| data['Username']: '111111111', 'registered successfully'
15-01-2024 20:38:11 | ic| data['Username']: '222', 'registered successfully'
15-01-2024 20:38:17 | ic| data['Username']: '233', 'registered successfully'
15-01-2024 20:38:33 | ic| current_user: 5, 'used Customers DELETE.'
15-01-2024 20:38:40 | ic| current_user: 5, 'used Customers DELETE.'
15-01-2024 20:46:01 | ic| data['Username']: '555', 'registered successfully'
15-01-2024 20:46:07 | ic| data['Username']: '444', 'registered successfully'
15-01-2024 20:46:31 | ic| data['Username']: '321', 'registered successfully'
15-01-2024 20:46:58 | ic| current_user: 5, 'used Customers DELETE.'
15-01-2024 20:47:09 | ic| current_user: 5, 'used Customers DELETE.'
15-01-2024 20:47:29 | ic| current_user: 5, 'used Customers DELETE.'
15-01-2024 20:47:29 | ic| current_user: 5, 'used Customers DELETE.'
15-01-2024 20:47:49 | ic| current_user: 5, 'used Customers DELETE.'
15-01-2024 20:47:58 | ic| current_user: 5, 'used Customers DELETE.'
15-01-2024 20:53:26 | ic| data['Username']: '222', 'registered successfully'
15-01-2024 20:53:33 | ic| data['Username']: '32222', 'registered successfully'
15-01-2024 20:53:39 | ic| data['Username']: '444', 'registered successfully'
15-01-2024 20:53:44 | ic| data['Username']: '555', 'registered successfully'
15-01-2024 20:57:41 | ic| current_user: 5, 'used Customers DELETE.'
15-01-2024 20:58:11 | ic| current_user: 5, 'used Customers DELETE.'
15-01-2024 20:58:15 | ic| current_user: 5, 'used Customers DELETE.'
15-01-2024 20:58:22 | ic| current_user: 5, 'used Customers DELETE.'
15-01-2024 20:58:25 | ic| current_user: 5, 'used Customers DELETE.'
15-01-2024 20:58:34 | ic| data['Username']: '111', 'registered successfully'
15-01-2024 20:58:39 | ic| data['Username']: '222', 'registered successfully'
15-01-2024 20:58:45 | ic| data['Username']: '322', 'registered successfully'
15-01-2024 20:58:50 | ic| data['Username']: '444', 'registered successfully'
15-01-2024 20:59:00 | ic| current_user: 5, 'used Customers DELETE.'
15-01-2024 21:04:16 | ic| current_user: 5, 'used Customers DELETE.'
15-01-2024 21:04:20 | ic| current_user: 5, 'used Customers DELETE.'
15-01-2024 21:04:28 | ic| current_user: 5, 'used Customers DELETE.'
15-01-2024 21:36:30 | ic| current_user: 5, 'used Loans POST.'
15-01-2024 21:36:39 | ic| current_user: 5, 'used Loans DELETE.'
15-01-2024 21:36:45 | ic| current_user: 5, 'used Loans POST.'
15-01-2024 21:36:53 | ic| current_user: 5, 'used Loans DELETE.'
15-01-2024 21:37:38 | ic| current_user: 5, 'used Loans POST.'
15-01-2024 21:37:45 | ic| current_user: 5, 'used Loans DELETE.'
15-01-2024 21:54:21 | ic| data['Username']: 'waga1', 'logged in successfully'
15-01-2024 21:58:17 | ic| data['Username']: 'waga1', 'logged in successfully'
15-01-2024 22:21:48 | ic| current_user: 5, 'used Loans DELETE.'
15-01-2024 22:35:40 | ic| data['Username']: '1', 'logged in successfully'
15-01-2024 22:38:05 | ic| current_user: 5, 'used Loans DELETE.'
15-01-2024 22:38:17 | ic| current_user: 5, 'used Loans POST.'
15-01-2024 22:39:33 | ic| current_user: 5, 'used Loans POST.'
15-01-2024 22:39:41 | ic| current_user: 5, 'used Loans DELETE.'
15-01-2024 22:41:43 | ic| data['Username']: '1', 'logged in successfully'
